timestamp,region,network_type,hour_of_day,day_of_week,month,is_weekend,is_special_event,active_users_k,latency_ms,signal_strength_dbm,packet_loss_pct,iot_devices,video_ratio,slicing_factor,tower_load_pct,temperature_c,bandwidth_gbps,region_type,reg_Ahmedabad_Commercial,reg_Bangalore_Tech,reg_Chennai_Port,reg_Delhi_Metro,reg_Hyderabad_IT,reg_Jaipur_Tourist,reg_Kolkata_Central,reg_Mumbai_Urban,reg_Pune_Industrial,reg_Surat_Trade,net_5G_NSA,net_5G_SA,net_5G_mmWave,rtype_commercial,rtype_high_density,rtype_industrial,rtype_medium,rtype_mixed,rtype_tech_hub,rtype_tourist
2023-10-09 07:14:00,Delhi_Metro,5G_SA,7,0,10,0,1,545,9.47,-66.8,0.226,168,0.8,0.92,77.5,32.7,176.842,high_density,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2023-04-15 21:47:00,Bangalore_Tech,5G_mmWave,21,5,4,1,0,819,6.11,-79.4,0.148,153,0.621,0.575,97.3,28.9,166.483,tech_hub,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2024-08-27 13:02:00,Jaipur_Tourist,5G_SA,13,1,8,0,0,236,5.3,-76.4,0.296,70,0.707,0.969,59.0,31.4,60.893,tourist,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2023-08-12 07:32:00,Mumbai_Urban,5G_SA,7,5,8,1,0,654,8.68,-72.0,0.895,160,0.668,0.728,67.2,27.3,172.239,high_density,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
2024-07-28 06:45:00,Surat_Trade,5G_SA,6,6,7,1,0,193,9.9,-83.8,0.779,86,0.553,0.726,32.0,35.0,44.621,commercial,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False
2023-08-14 14:37:00,Jaipur_Tourist,5G_NSA,14,0,8,0,0,228,10.29,-66.0,0.073,76,0.718,0.599,55.5,36.1,47.007,tourist,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2023-06-13 22:27:00,Kolkata_Central,5G_SA,22,1,6,0,0,412,10.46,-72.6,0.013,117,0.808,0.737,94.3,33.1,97.898,medium,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
2023-06-09 06:48:00,Hyderabad_IT,5G_NSA,6,4,6,0,0,323,7.66,-63.7,0.463,159,0.773,0.537,43.0,31.6,66.167,tech_hub,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2023-04-05 12:06:00,Hyderabad_IT,5G_SA,12,2,4,0,0,619,8.91,-76.2,0.694,141,0.744,0.938,80.5,25.9,151.66,tech_hub,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2024-09-10 08:51:00,Hyderabad_IT,5G_NSA,8,1,9,0,0,469,3.69,-69.2,0.175,124,0.654,0.711,62.6,32.2,112.538,tech_hub,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
